COMMUNE_NOM,COLL_INSEE,TYPE_EVENEMENT,ANNEE,DATE_EVENEMENT,NOMBRE_EVENEMENT
NEUVILLE-SAINT-REMY,59428,MARIAGE,2003,20030816,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2003,20030809,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2003,20030719,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2003,20030712,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2003,20030705,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2003,20030614,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2003,20030426,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2003,20030405,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2002,20020914,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2002,20020824,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2002,20020803,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2002,20020729,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2002,20020727,3
NEUVILLE-SAINT-REMY,59428,MARIAGE,2002,20020706,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2002,20020629,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2002,20020625,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2002,20020615,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2002,20020608,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2002,20020602,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2002,20020511,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2002,20020420,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2002,20020330,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20011222,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20011201,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20011117,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20011103,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20011013,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010915,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010908,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010901,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010811,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010721,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010707,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010630,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010623,3
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010616,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010609,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010602,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010519,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010428,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010421,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010331,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010324,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010127,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2001,20010120,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2000,20001223,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2000,20001209,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2000,20001125,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2000,20001021,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2000,20001007,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2000,20000923,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2000,20000916,3
NEUVILLE-SAINT-REMY,59428,MARIAGE,2000,20000909,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2000,20000826,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2000,20000819,1
